frame,t,mode,fps,L_body_x,L_body_y,L_body_z,R_body_x,R_body_y,R_body_z,L_tgt_x,R_tgt_x
689,56.845,single_2d,12.1,0.1147,0.0000,-0.4250,-0.3183,-0.0000,-0.1781,-0.0000,-0.0000
690,57.009,single_2d,12.1,0.1148,0.0000,-0.4249,-0.3182,0.0000,-0.1789,-0.0000,-0.0000
691,57.031,single_2d,12.1,0.1146,-0.0000,-0.4257,-0.3182,0.0000,-0.1803,-0.0000,-0.0000
692,57.058,single_2d,12.1,0.1142,0.0000,-0.4270,-0.3171,-0.0000,-0.1814,-0.0000,-0.0000
693,57.220,single_2d,12.1,0.1145,-0.0000,-0.4270,-0.3182,-0.0000,-0.1816,-0.0000,-0.0000
694,57.243,single_2d,12.1,0.1158,0.0000,-0.4260,-0.3193,-0.0000,-0.1814,-0.0000,-0.0000
695,57.267,single_2d,12.2,0.1162,0.0000,-0.4253,-0.3200,-0.0000,-0.1814,-0.0000,-0.0000
696,57.427,single_2d,12.1,0.1161,0.0000,-0.4250,-0.3204,-0.0000,-0.1823,-0.0000,-0.0000
697,57.450,single_2d,12.1,0.1158,-0.0000,-0.4246,-0.3241,0.0000,-0.1812,-0.0000,-0.0000
698,57.473,single_2d,12.2,0.1173,0.0000,-0.4251,-0.3226,-0.0000,-0.1886,-0.0000,-0.0000
699,57.636,single_2d,12.1,0.1192,0.0000,-0.4259,-0.3196,0.0000,-0.1988,-0.0000,-0.0000
700,57.660,single_2d,12.2,0.1252,-0.0000,-0.4293,-0.3148,0.0000,-0.2163,-0.0000,-0.0000
701,57.685,single_2d,12.2,0.1320,-0.0000,-0.4313,-0.3076,0.0000,-0.2416,-0.0000,-0.0000
702,57.844,single_2d,12.2,0.1385,0.0000,-0.4343,-0.2996,0.0000,-0.2694,-0.0000,-0.0000
703,57.867,single_2d,12.2,0.1413,0.0000,-0.4374,-0.2926,-0.0000,-0.2992,-0.0000,-0.0000
704,57.891,single_2d,12.2,0.1410,0.0000,-0.4378,-0.2784,-0.0000,-0.3293,-0.0000,-0.0000
705,58.060,single_2d,12.2,0.1403,0.0000,-0.4366,-0.2610,0.0000,-0.3559,-0.0000,-0.0000
706,58.082,single_2d,12.2,0.1402,0.0000,-0.4359,-0.2441,-0.0000,-0.3780,-0.0000,-0.0000
707,58.107,single_2d,12.2,0.1348,-0.0000,-0.4361,-0.2173,0.0000,-0.3965,-0.0000,-0.0000
708,58.274,single_2d,12.2,0.1300,-0.0000,-0.4384,-0.1897,-0.0000,-0.4127,-0.0000,-0.0000
709,58.296,single_2d,12.2,0.1250,-0.0000,-0.4394,-0.1695,0.0000,-0.4253,-0.0000,-0.0000
710,58.325,single_2d,12.2,0.1193,-0.0000,-0.4378,-0.1459,0.0000,-0.4342,-0.0000,-0.0000
711,58.481,single_2d,12.2,0.1142,-0.0000,-0.4378,-0.1263,-0.0000,-0.4407,-0.0000,-0.0000
712,58.505,single_2d,12.2,0.1090,0.0000,-0.4381,-0.1093,-0.0000,-0.4460,-0.0000,-0.0000
713,58.528,single_2d,12.2,0.1048,-0.0000,-0.4384,-0.0951,-0.0000,-0.4496,-0.0000,-0.0000
714,58.684,single_2d,12.2,0.1007,-0.0000,-0.4372,-0.0826,0.0000,-0.4513,-0.0000,-0.0000
